Complexity,Loss,Equation
1,0.024933975,"-0.7403924"
3,0.018540831,"-0.23939292 - x0"
4,0.004877446,"exp(x0) * -0.42080078"
5,0.000447458,"-0.47098175 - (x0 * 0.537747)"
6,0.00022655027,"exp(x0 * -0.78145605) + -1.434043"
8,0.00022390299,"(exp(x0 * -0.7047026) + -1.4073976) * 1.0730412"
9,0.00019201459,"(x0 / (3.1256325 - x0)) - (x0 + 0.4452436)"
10,0.00018031929,"(x0 / (3.0563786 - square(x0))) + (-0.4383851 - x0)"
12,0.00017973602,"(x0 / (3.0563786 - square(x0 * -0.9959017))) + (-0.4383851 - x0)"
