Complexity,Loss,Equation
1,0.022234164,"-0.7413595"
3,0.020912962,"-0.24034572 - x0"
4,0.005766239,"exp(x0) * -0.42000496"
5,0.0003991356,"-0.4869575 - (x0 * 0.507793)"
6,0.00020339074,"exp(x0 * -0.7180842) - 1.4545383"
8,0.00018118002,"(0.28989482 * exp(x0)) - (x0 + 0.7393078)"
10,0.0001696705,"(exp(x0) * 0.23721182) + (-0.6940628 - (x0 * 0.90932333))"
11,0.00015861962,"(square(exp(x0)) * 0.034495536) + (-0.49358457 - (x0 * 0.7155117))"
12,8.395528e-5,"(square(exp(sqrt(x0))) * 0.24073198) + (-0.77364326 - (x0 * 1.954197))"
