Complexity,Loss,Equation
1,48.126446,"-1.1791974"
3,41.874893,"x3 * -16.35288"
5,38.537945,"(x2 - x3) * 16.610838"
6,2.9266357,"x2 * neg(x4 / x1)"
8,2.3862145,"(x2 * neg(x4 / x1)) - x3"
10,1.5974294,"neg(x2 * (x4 / x1)) - (x3 * 2.7029035)"
12,0.92675775,"neg((x2 * (x4 / x1)) + (x3 / 0.28106657)) - x3"
