Complexity,Loss,Equation
1,9.7478695,"-0.29682449"
2,9.3463125,"neg(x3)"
3,7.267127,"x3 * -9.969203"
5,7.10585,"(x3 * -10.130754) - 0.40234426"
6,2.6465974,"neg(x2 / (x1 / x4))"
8,2.158077,"neg(x3 + (x2 / (x1 / x4)))"
10,0.102392256,"neg((x3 * 9.194155) + (x2 / (x1 / x4)))"
12,0.025934013,"neg((x2 / (x1 / x4)) + ((x3 * 10.050715) - -0.2489048))"
