Complexity,Loss,Equation
1,286.2956,"26.300411"
3,113.173065,"x0 * 4.3288436"
4,0.43583956,"square(x0 + -1.7046673)"
5,5.881399e-12,"x0 * (x0 - 3.0)"
7,4.956746e-12,"((x0 - 3.0000005) * x0) + 3.8155094e-6"
9,2.1903664e-12,"(x0 * (x0 + -2.4167037)) - (x0 * 0.58329624)"
