Complexity,Loss,Equation
1,20.120916,"-0.93447083"
3,19.237673,"x3 / -0.12666903"
5,17.80456,"(x3 - x2) / -0.111247346"
7,16.734255,"(-0.03409919 / (x5 + -0.03409919)) - x5"
8,11.048219,"-0.03409919 / neg(x0 + (x5 + 0.60794675))"
10,10.420637,"(-0.03409919 / neg((x5 + 0.60794675) + x0)) - x5"
12,9.962829,"((-0.03409919 / neg((x5 + 0.60794675) + x0)) - x5) - x3"
