Complexity,Loss,Equation
1,1396.871,"81.876"
3,434.9923,"x0 * 7.8040648"
4,0.93404526,"square(x0 + -2.2116075)"
5,2.748695e-11,"x0 * (x0 - 3.9999998)"
7,1.546141e-11,"((x0 - 4.0) * x0) + 3.816531e-6"
9,1.4551915e-11,"(((x0 - 3.4020503) + -0.5979501) * x0) + 5.2193573e-6"
