Complexity,Loss,Equation
1,0.024509013,"-0.7405868"
3,0.018889407,"-0.23957396 - x0"
4,0.0049940846,"exp(x0) * -0.42070547"
5,0.00043669905,"-0.47346327 - (x0 * 0.53318244)"
6,0.00022383127,"exp(x0 * -0.7713347) + -1.4373055"
7,0.00017516654,"exp(0.55235666 - exp(x0)) + -1.0888914"
9,0.00017021311,"exp(0.53345716 - exp(x0 * 1.0302225)) + -1.0755883"
11,0.00012895865,"(exp(-0.07460853 - square(x0 - -0.4406658)) + -1.3408369) * 0.7905313"
12,0.00012894871,"(exp(-0.3600654 - (x0 * (x0 - -0.9001056))) + -1.2235844) * 0.8638155"
