Complexity,Loss,Equation
1,0.024764808,"-0.7404296"
3,0.018680293,"-0.2394278 - x0"
4,0.00492548,"exp(x0) * -0.4207428"
5,0.00044397428,"-0.4719287 - (x0 * 0.5359259)"
6,0.00022470352,"exp(x0 * -0.7774821) + -1.4352782"
8,0.0002223226,"exp(0.060889967 - (x0 * 0.7110124)) + -1.5007521"
9,0.00012258647,"exp(-0.6110283 - (x0 * exp(x0))) + -0.996367"
11,0.00011881777,"exp(-0.6629148 - (x0 * exp(x0 * 1.2000533))) + -0.9691481"
12,0.00010453248,"exp(-0.5837858 - ((exp(sqrt(x0)) + -0.4336309) * x0)) + -1.0142223"
