Complexity,Loss,Equation
1,16.217148,"-0.90479827"
3,14.733316,"x3 * -9.103034"
5,10.468431,"-0.058557574 / (0.10580328 + x3)"
7,10.004842,"(-0.058557574 / (0.10580328 + x3)) - x3"
9,8.306595,"(-0.058557574 / (x3 + 0.10580328)) - (x3 / 0.10580328)"
11,8.02045,"((-0.14976195 - x3) / (x3 + 0.105588384)) - (x3 / 0.105588384)"
12,8.019995,"((-0.14976195 - x3) / (0.105588384 + x3)) - (x3 / square(-0.32648307))"
