Complexity,Loss,Equation
1,586.7932,"71.13593"
3,209.5287,"x0 * 6.926581"
4,0.44658715,"square(x0 - 2.2304263)"
5,4.0421985e-11,"(x0 - 4.0) * x0"
7,2.2636313e-11,"(x0 * (x0 + -4.000002)) + 1.9704637e-5"
8,1.4551915e-11,"square(x0 + -0.00034242883) - (x0 * 3.9993153)"
9,1.13181565e-11,"(((x0 * -2.0768334e-7) + x0) + -3.9999976) * x0"
