Complexity,Loss,Equation
1,385.12582,"33.031963"
3,151.91754,"x0 * 4.9198236"
4,0.3649358,"square(x0 - 1.6849979)"
5,6.597626e-12,"(x0 - 3.0) * x0"
7,5.6691834e-12,"((x0 - 2.1314225) + -0.8685776) * x0"
9,4.83548e-12,"(x0 * -0.023439007) - (x0 * (2.976561 - x0))"
11,3.5925041e-12,"((x0 - 1.485753) * x0) + ((x0 * -0.5142469) - x0)"
