Complexity,Loss,Equation
1,0.025230287,"-0.7402883"
3,0.01829684,"-0.23928589 - x0"
4,0.0047920053,"exp(x0) * -0.42088902"
5,0.000452362,"(x0 * -0.54093957) + -0.46927762"
6,0.00022807777,"exp(x0 * -0.7884537) + -1.4318298"
8,0.00018853109,"(exp(x0) * 0.27093512) + (-0.7056052 - x0)"
10,0.00018824781,"((exp(x0 * 0.9749578) * 0.28185862) + -0.7173713) - x0"
11,0.0001850925,"((exp(exp(x0 * 0.43261334)) * 0.23924807) + -1.0865344) - x0"
